Source:,C:\Users\kurina\Documents\GitHub\EDD-pco2-controller-kicad\pco2-sensor-board\pco2-sensor-board.kicad_sch,,,,,,,,,
Date:,6/29/2023 15:46,,,,,,,,,
Tool:,Eeschema (7.0.0),,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,168,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Description,MPN,Notes
54,1,RED_LED1,LS R976-NR-1,pco2-sensor-board:LSR976-NR-1,pco2-sensor-board:LGR971-KN-1,,,,LS R976-NR-1,
55,1,U1,LT3970EMS-3.3-PBF,pco2-sensor-board:LT3970EMS-3.3-PBF,pco2-sensor-board:LT3970EMS-3.3-PBF,,,,LT3970EMS-3.3-PBF,
56,1,U2,LT1672IS8-PBF,pco2-sensor-board:LT1672IS8-PBF,pco2-sensor-board:LT1672IS8-PBF,,,,LT1672IS8-PBF,
57,1,U3,TPL5010DDCR,pco2-sensor-board:TPL5010DDCR,pco2-sensor-board:TPL5010DDCR,,,,TPL5010DDCR,
58,1,U5,MSP430FR5994IPNR,pco2-sensor-board:MSP430FR5994IPNR,pco2-sensor-board:MSP430FR5994IPNR,,,,MSP430FR5994IPNR,
59,1,U6,AB0805-T3,pco2-sensor-board:AB0805-T3,pco2-sensor-board:QFN50P300X300X90-17N,,,,AB0805-T3,
60,1,U7,AQY211G2SX,pco2-sensor-board:AQY211G2SX,pco2-sensor-board:AQY211G2SX,,,,AQY211G2SX,
61,1,U8,MAX3109ETJ+,pco2-sensor-board:MAX3109ETJ+,pco2-sensor-board:MAX3109ETJ+,,,,MAX3109ETJ+,
62,1,U9,LTC3115IDHD-1-PBF,pco2-sensor-board:LTC3115IDHD-1-PBF,pco2-sensor-board:LTC3115IDHD-1-PBF,,,,LTC3115IDHD-1-PBF,
63,2,"U11, U80",MAX3224EETP+,pco2-sensor-board:MAX3224EETP+,pco2-sensor-board:MAX3224EETP+,,,,MAX3224EETP+,
64,1,U20,ISL60002BIH310Z-TK,pco2-sensor-board:ISL60002BIH310Z-TK,pco2-sensor-board:ISL60002BIH310Z-TK,,,,ISL60002BIH310Z-TK,
65,1,U21,BME280,pco2-sensor-board:BME280,pco2-sensor-board:BME280,https://datasheet.datasheetarchive.com/originals/distributors/DKDS-24/462906.pdf,,,BME280,
66,1,U30,SN74LVC1G240DBVR,pco2-sensor-board:SN74LVC1G240DBVR,pco2-sensor-board:SN74LVC1G240DBVR,,,,SN74LVC1G240DBVR,
67,1,U50,SG-210STF 7.3728ML,pco2-sensor-board:SG-210STF 7.3728ML,pco2-sensor-board:SG-210STF 7.3728ML,,,,SG-210STF 7.3728ML,
68,1,U81,LDL212DR,pco2-sensor-board:LDL212DR,pco2-sensor-board:LDL212DR,,,,LDL212DR,
69,1,Y60,ABS06-107-32.768KHZ-T,pco2-sensor-board:ABS06-107-32.768KHZ-T,pco2-sensor-board:ABS0610732768KHZT,http://www.abracon.com/Resonators/ABS06-107-32.768kHz-T.pdf,,"ABRACON - ABS06-107-32.768KHZ-T - CRYSTAL, 32.768KHZ, 4PF, 2 X 1.2MM",ABS06-107-32.768KHZ-T,
70,1,Y80,ABLS-3.6864MHZ-B4-T,pco2-sensor-board:ABLS-3.6864MHZ-B4-T,pco2-sensor-board:ABLS-3.6864MHZ-B4-T,,,,ABLS-3.6864MHZ-B4-T,
